symbol,name
AADI.JK,Adaro Andalan Indonesia Tbk
ADMR.JK,Alamtri Minerals Indonesia Tbk
ADRO.JK,Alamtri Resources Indonesia Tbk
AKRA.JK,AKR Corporindo Tbk
AMMN.JK,Amman Mineral Internasional Tbk
ANTM.JK,Aneka Tambang Tbk
ARTO.JK,Bank Jago Tbk
ASII.JK,Astra International Tbk
BBCA.JK,Bank Central Asia Tbk
BBNI.JK,Bank Negara Indonesia (Persero) Tbk
BBRI.JK,Bank Rakyat Indonesia (Persero) Tbk
BBTN.JK,Bank Tabungan Negara (Persero) Tbk
BMRI.JK,Bank Mandiri (Persero) Tbk
BRIS.JK,Bank Syariah Indonesia Tbk
BREN.JK,Barito Renewables Energy Tbk
CPIN.JK,Charoen Pokphand Indonesia Tbk
CTRA.JK,Ciputra Development Tbk
ESSA.JK,ESSA Industries Indonesia Tbk
EXCL.JK,XL Axiata Tbk
GOTO.JK,GoTo Gojek Tokopedia Tbk
ICBP.JK,Indofood CBP Sukses Makmur Tbk
INCO.JK,Vale Indonesia Tbk
INDF.JK,Indofood Sukses Makmur Tbk
INKP.JK,Indah Kiat Pulp & Paper Tbk
ISAT.JK,Indosat Tbk
ITMG.JK,Indo Tambangraya Megah Tbk
KLBF.JK,Kalbe Farma Tbk
MDKA.JK,Merdeka Copper Gold Tbk
MEDC.JK,Medco Energi Internasional Tbk
PGAS.JK,Perusahaan Gas Negara Tbk
PTBA.JK,Bukit Asam Tbk
SMGR.JK,Semen Indonesia (Persero) Tbk
TLKM.JK,Telkom Indonesia (Persero) Tbk
TPIA.JK,Chandra Asri Pacific Tbk
UNTR.JK,United Tractors Tbk
UNVR.JK,Unilever Indonesia Tbk
WIFI.JK,Solusi Sinergi Digital Tbk
